[21-Apr-2023 06:44:16 UTC] PHP Fatal error:  Cannot redeclare App\Providers\EventServiceProvider::$listen in /Users/mia/Sites/collectingBooks/app/Providers/EventServiceProvider.php on line 38
[02-May-2023 17:43:35 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 262144 bytes) in /Users/mia/Sites/collectingBooks/vendor/laravel/framework/src/Illuminate/Container/Container.php on line 1215
[02-May-2023 17:43:35 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 262144 bytes) in Unknown on line 0
[02-May-2023 17:43:39 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 262144 bytes) in /Users/mia/Sites/collectingBooks/vendor/laravel/framework/src/Illuminate/Container/Container.php on line 771
[02-May-2023 17:43:39 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 262144 bytes) in /Users/mia/Sites/collectingBooks/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php on line 254
[02-May-2023 17:43:55 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 262144 bytes) in /Users/mia/Sites/collectingBooks/vendor/laravel/framework/src/Illuminate/Container/Container.php on line 771
[02-May-2023 17:43:55 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 262144 bytes) in /Users/mia/Sites/collectingBooks/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php on line 254
[03-May-2023 09:24:17 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 262144 bytes) in /Users/mia/Sites/collectingBooks/vendor/laravel/framework/src/Illuminate/Container/Container.php on line 771
[03-May-2023 09:24:17 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 262144 bytes) in /Users/mia/Sites/collectingBooks/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php on line 254
[03-May-2023 09:24:55 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 262144 bytes) in /Users/mia/Sites/collectingBooks/vendor/laravel/framework/src/Illuminate/Container/Container.php on line 771
[03-May-2023 09:24:55 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 262144 bytes) in /Users/mia/Sites/collectingBooks/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php on line 254
[03-May-2023 09:24:57 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 262144 bytes) in /Users/mia/Sites/collectingBooks/vendor/laravel/framework/src/Illuminate/Container/Container.php on line 771
[03-May-2023 09:24:57 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 262144 bytes) in /Users/mia/Sites/collectingBooks/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php on line 254
[03-May-2023 09:28:23 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 262144 bytes) in /Users/mia/Sites/collectingBooks/vendor/laravel/framework/src/Illuminate/Container/Container.php on line 771
[03-May-2023 09:28:23 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 262144 bytes) in /Users/mia/Sites/collectingBooks/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php on line 254
[03-May-2023 09:35:02 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 262144 bytes) in /Users/mia/Sites/collectingBooks/vendor/laravel/framework/src/Illuminate/Foundation/Application.php on line 931
[03-May-2023 09:35:02 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 262144 bytes) in Unknown on line 0
[03-May-2023 09:36:41 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 262144 bytes) in /Users/mia/Sites/collectingBooks/vendor/laravel/framework/src/Illuminate/Container/Container.php on line 1215
[03-May-2023 09:36:41 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 262144 bytes) in Unknown on line 0
[03-May-2023 09:36:46 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 262144 bytes) in /Users/mia/Sites/collectingBooks/vendor/laravel/framework/src/Illuminate/Container/Container.php on line 771
[03-May-2023 09:36:46 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 262144 bytes) in /Users/mia/Sites/collectingBooks/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php on line 254
[03-May-2023 09:40:48 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 262144 bytes) in /Users/mia/Sites/collectingBooks/vendor/laravel/framework/src/Illuminate/Container/Container.php on line 771
[03-May-2023 09:40:48 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 262144 bytes) in /Users/mia/Sites/collectingBooks/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php on line 254
[03-May-2023 09:44:39 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 262144 bytes) in /Users/mia/Sites/collectingBooks/vendor/laravel/framework/src/Illuminate/Container/Container.php on line 771
[03-May-2023 09:44:39 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 262144 bytes) in /Users/mia/Sites/collectingBooks/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php on line 254
[03-May-2023 09:44:41 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 262144 bytes) in /Users/mia/Sites/collectingBooks/vendor/laravel/framework/src/Illuminate/Container/Container.php on line 771
[03-May-2023 09:44:41 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 262144 bytes) in /Users/mia/Sites/collectingBooks/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php on line 254
[04-May-2023 02:25:16 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 262144 bytes) in /Users/mia/Sites/collectingBooks/vendor/laravel/framework/src/Illuminate/Container/Container.php on line 1215
[04-May-2023 02:25:16 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 262144 bytes) in Unknown on line 0
